capturado_utc,puerto,frontera,puerto_nombre,cruce,clase,carril,estado,minutos,carriles_abiertos,hora_cbp,puerto_estado,sentido
2025-05-23T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,15,,SANDAG,,norte
2025-05-23T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,60,,SANDAG,,norte
2025-05-23T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,7,,SANDAG,,norte
2025-05-24T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,18,,SANDAG,,norte
2025-05-24T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,3,,SANDAG,,norte
2025-05-24T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,31,,SANDAG,,norte
2025-05-24T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,19,,SANDAG,,norte
2025-05-24T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,8,,SANDAG,,norte
2025-05-24T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,26,,SANDAG,,norte
2025-05-24T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-05-24T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,34,,SANDAG,,norte
2025-05-24T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-05-25T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,13,,SANDAG,,norte
2025-05-25T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-05-25T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,29,,SANDAG,,norte
2025-05-25T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,6,,SANDAG,,norte
2025-05-25T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,3,,SANDAG,,norte
2025-05-25T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-05-25T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,87,,SANDAG,,norte
2025-05-26T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,4,,SANDAG,,norte
2025-05-26T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,14,,SANDAG,,norte
2025-05-26T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,7,,SANDAG,,norte
2025-05-26T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,12,,SANDAG,,norte
2025-05-26T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,45,,SANDAG,,norte
2025-05-26T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-05-26T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,55,,SANDAG,,norte
2025-05-26T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,53,,SANDAG,,norte
2025-05-26T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,8,,SANDAG,,norte
2025-05-27T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,49,,SANDAG,,norte
2025-05-27T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-05-27T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,44,,SANDAG,,norte
2025-05-27T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,18,,SANDAG,,norte
2025-05-27T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,30,,SANDAG,,norte
2025-05-27T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,20,,SANDAG,,norte
2025-05-27T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,0,,SANDAG,,norte
2025-05-27T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,7,,SANDAG,,norte
2025-05-27T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,66,,SANDAG,,norte
2025-05-27T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,12,,SANDAG,,norte
2025-05-28T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,80,,SANDAG,,norte
2025-05-28T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-05-28T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,10,,SANDAG,,norte
2025-05-28T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,25,,SANDAG,,norte
2025-05-28T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,18,,SANDAG,,norte
2025-05-28T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,8,,SANDAG,,norte
2025-05-28T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,0,,SANDAG,,norte
2025-05-28T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,8,,SANDAG,,norte
2025-05-28T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,37,,SANDAG,,norte
2025-05-28T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,4,,SANDAG,,norte
2025-05-29T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,9,,SANDAG,,norte
2025-05-29T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,0,,SANDAG,,norte
2025-05-29T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,26,,SANDAG,,norte
2025-05-29T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,34,,SANDAG,,norte
2025-05-29T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,9,,SANDAG,,norte
2025-05-29T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,51,,SANDAG,,norte
2025-05-29T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-05-29T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,8,,SANDAG,,norte
2025-05-29T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,13,,SANDAG,,norte
2025-05-29T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,45,,SANDAG,,norte
2025-05-30T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,44,,SANDAG,,norte
2025-05-30T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-05-30T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,16,,SANDAG,,norte
2025-05-30T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,13,,SANDAG,,norte
2025-05-30T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,8,,SANDAG,,norte
2025-05-30T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,9,,SANDAG,,norte
2025-05-30T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,2,,SANDAG,,norte
2025-05-30T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,8,,SANDAG,,norte
2025-05-30T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,38,,SANDAG,,norte
2025-05-30T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,17,,SANDAG,,norte
2025-05-31T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,34,,SANDAG,,norte
2025-05-31T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-05-31T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,35,,SANDAG,,norte
2025-05-31T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,17,,SANDAG,,norte
2025-05-31T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,8,,SANDAG,,norte
2025-05-31T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,9,,SANDAG,,norte
2025-05-31T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,1,,SANDAG,,norte
2025-05-31T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,8,,SANDAG,,norte
2025-05-31T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,55,,SANDAG,,norte
2025-06-01T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,30,,SANDAG,,norte
2025-06-01T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,2,,SANDAG,,norte
2025-06-01T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,8,,SANDAG,,norte
2025-06-01T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,33,,SANDAG,,norte
2025-06-01T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-06-01T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,74,,SANDAG,,norte
2025-06-01T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,7,,SANDAG,,norte
2025-06-02T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,18,,SANDAG,,norte
2025-06-02T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-06-02T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,8,,SANDAG,,norte
2025-06-02T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,20,,SANDAG,,norte
2025-06-02T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,16,,SANDAG,,norte
2025-06-02T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,3,,SANDAG,,norte
2025-06-02T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,16,,SANDAG,,norte
2025-06-02T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,50,,SANDAG,,norte
2025-06-02T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,8,,SANDAG,,norte
2025-06-02T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,6,,SANDAG,,norte
2025-06-03T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,14,,SANDAG,,norte
2025-06-03T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,2,,SANDAG,,norte
2025-06-03T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,5,,SANDAG,,norte
2025-06-03T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,10,,SANDAG,,norte
2025-06-03T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,15,,SANDAG,,norte
2025-06-03T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,51,,SANDAG,,norte
2025-06-03T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-06-03T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-06-03T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,12,,SANDAG,,norte
2025-06-03T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,55,,SANDAG,,norte
2025-06-04T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,61,,SANDAG,,norte
2025-06-04T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,14,,SANDAG,,norte
2025-06-04T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-06-04T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,13,,SANDAG,,norte
2025-06-04T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,13,,SANDAG,,norte
2025-06-04T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,20,,SANDAG,,norte
2025-06-04T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,4,,SANDAG,,norte
2025-06-04T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,9,,SANDAG,,norte
2025-06-04T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,38,,SANDAG,,norte
2025-06-04T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,9,,SANDAG,,norte
2025-06-05T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,49,,SANDAG,,norte
2025-06-05T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,4,,SANDAG,,norte
2025-06-05T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,12,,SANDAG,,norte
2025-06-05T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,12,,SANDAG,,norte
2025-06-05T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,16,,SANDAG,,norte
2025-06-05T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,11,,SANDAG,,norte
2025-06-05T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,4,,SANDAG,,norte
2025-06-05T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,14,,SANDAG,,norte
2025-06-05T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,40,,SANDAG,,norte
2025-06-05T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,8,,SANDAG,,norte
2025-06-06T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,44,,SANDAG,,norte
2025-06-06T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-06-06T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,0,,SANDAG,,norte
2025-06-06T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,9,,SANDAG,,norte
2025-06-06T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,8,,SANDAG,,norte
2025-06-06T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,6,,SANDAG,,norte
2025-06-06T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,11,,SANDAG,,norte
2025-06-06T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,30,,SANDAG,,norte
2025-06-06T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,14,,SANDAG,,norte
2025-06-06T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,9,,SANDAG,,norte
2025-06-07T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,40,,SANDAG,,norte
2025-06-07T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-06-07T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,21,,SANDAG,,norte
2025-06-07T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,13,,SANDAG,,norte
2025-06-07T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,21,,SANDAG,,norte
2025-06-07T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,30,,SANDAG,,norte
2025-06-07T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,1,,SANDAG,,norte
2025-06-07T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,51,,SANDAG,,norte
2025-06-07T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,7,,SANDAG,,norte
2025-06-08T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,32,,SANDAG,,norte
2025-06-08T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,2,,SANDAG,,norte
2025-06-08T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,10,,SANDAG,,norte
2025-06-08T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,32,,SANDAG,,norte
2025-06-08T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-06-08T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,84,,SANDAG,,norte
2025-06-08T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-06-09T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,peatones,general,promedio-diario,5,,SANDAG,,norte
2025-06-09T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,pasajeros,general,promedio-diario,16,,SANDAG,,norte
2025-06-09T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,general,promedio-diario,22,,SANDAG,,norte
2025-06-09T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,pasajeros,sentri,promedio-diario,8,,SANDAG,,norte
2025-06-09T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,general,promedio-diario,8,,SANDAG,,norte
2025-06-09T12:00:00+00:00,250301,Mexican Border,Calexico East,Calexico East,carga,fast,promedio-diario,5,,SANDAG,,norte
2025-06-09T12:00:00+00:00,250201,Mexican Border,Andrade,Andrade,peatones,general,promedio-diario,2,,SANDAG,,norte
2025-06-09T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,peatones,general,promedio-diario,8,,SANDAG,,norte
2025-06-09T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,pasajeros,general,promedio-diario,48,,SANDAG,,norte
2025-06-09T12:00:00+00:00,250501,Mexican Border,Tecate,Tecate,carga,general,promedio-diario,12,,SANDAG,,norte
